"Geographic Area Name (NAME)","2017 NAICS Code (NAICS)","Meaning of NAICS Code (NAICS_LABEL)","Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Number of employees (EMP)","(DHS) denominator (DENOM)","Number of establishments born during the last 12 months (ESTABS_ENTRY)","Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE)","Number of establishments exited during the last 12 months (ESTABS_EXIT)","Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE)","Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION)","Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS)","Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS)","Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS)","Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE)","Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION)","Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS)","Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS)","Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS)","Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE)","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION)","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE)","Rate of reallocation during the last 12 months (REALLOCATION_RATE)","Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS)","Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS)","Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)"
"Alabama","00","Total for all sectors","Total","2009","71,181","94,893","1,612,482","1,664,992","7,694","8.002","10,210","10.619","172,179","64,449","107,730","3.871","10.341","277,689","72,121","205,568","4.332","16.678","−105,510","−6.337","20.682","6,882","7,074","37,751"
"Alabama","00","Total for all sectors","Total","2010","69,402","93,148","1,574,739","1,592,925","7,501","7.983","9,136","9.723","178,559","62,027","116,532","3.894","11.210","214,572","58,799","155,773","3.691","13.470","−36,013","−2.261","22.419","6,040","6,178","31,328"
"Alabama","00","Total for all sectors","Total","2011","68,323","91,963","1,591,965","1,583,131","7,537","8.144","8,715","9.416","209,787","54,034","155,753","3.413","13.251","189,426","58,511","130,915","3.696","11.965","20,361","1.286","23.931","5,494","5,775","27,932"
"Alabama","00","Total for all sectors","Total","2012","67,990","91,821","1,586,718","1,589,402","7,795","8.484","7,909","8.608","202,157","56,359","145,798","3.546","12.719","208,329","58,629","149,700","3.689","13.107","−6,172","−0.388","25.438","4,992","5,131","30,573"
"Alabama","00","Total for all sectors","Total","2013","67,641","91,529","1,599,230","1,592,128","7,518","8.202","7,784","8.492","195,095","54,555","140,540","3.427","12.254","181,094","62,029","119,065","3.896","11.374","14,001","0.879","22.749","4,874","4,961","29,585"
"Alabama","00","Total for all sectors","Total","2014","67,545","91,964","1,603,842","1,600,049","7,404","8.069","6,992","7.620","190,215","59,773","130,442","3.736","11.888","183,165","52,822","130,343","3.301","11.447","7,050","0.441","22.895","4,533","4,655","26,457"
"Alabama","00","Total for all sectors","Total","2015","67,451","92,473","1,638,842","1,620,844","7,768","8.423","7,266","7.879","199,296","64,386","134,910","3.972","12.296","164,000","51,736","112,264","3.192","10.118","35,296","2.178","20.236","4,657","4,813","27,497"
"Alabama","00","Total for all sectors","Total","2016","68,122","93,842","1,680,130","1,659,148","7,846","8.423","6,459","6.934","200,773","67,256","133,517","4.054","12.101","157,634","45,576","112,058","2.747","9.501","43,139","2.600","19.002","4,348","4,464","24,911"
"Alabama","00","Total for all sectors","Total","2017","68,261","93,963","1,701,443","1,688,926","7,587","8.080","7,464","7.949","223,217","56,827","166,390","3.365","13.217","197,508","62,023","135,485","3.672","11.694","25,709","1.522","23.389","4,649","4,781","29,459"
"Alabama","00","Total for all sectors","Total","2018","68,202","93,595","1,723,407","1,714,030","6,794","7.245","7,144","7.619","202,908","54,011","148,897","3.151","11.838","185,565","50,222","135,343","2.930","10.826","17,343","1.012","21.652","4,664","4,855","28,070"
"Alabama","00","Total for all sectors","Total","2019","68,647","94,439","1,761,274","1,742,556","7,506","7.983","6,681","7.105","202,529","58,199","144,330","3.340","11.623","166,236","49,486","116,750","2.840","9.540","36,293","2.083","19.080","4,761","4,900","27,736"
"Alabama","00","Total for all sectors","Total","2020","67,983","93,760","1,777,163","1,769,389","6,869","7.300","7,536","8.009","199,671","51,813","147,858","2.928","11.285","183,587","53,440","130,147","3.020","10.376","16,084","0.909","20.751","5,398","5,575","31,757"
"Alaska","00","Total for all sectors","Total","1978","7,122","8,430","108,318","108,397","1,909","23.543","1,266","15.613","35,656","14,804","20,852","13.657","32.894","35,706","17,146","18,560","15.818","32.940","−50","−0.046","65.788","828","835","8,897"
"Alaska","00","Total for all sectors","Total","1979","7,326","8,631","109,359","108,959","1,647","19.287","1,464","17.144","26,797","9,690","17,107","8.893","24.594","26,196","9,441","16,755","8.665","24.042","601","0.552","48.084","946","956","5,463"
"Alaska","00","Total for all sectors","Total","1980","7,320","8,650","106,436","107,902","1,454","16.831","1,432","16.576","22,769","8,186","14,583","7.587","21.102","25,699","9,801","15,898","9.083","23.817","−2,930","−2.715","42.203","967","978","4,687"
"Alaska","00","Total for all sectors","Total","1981","7,659","9,037","118,724","112,539","1,630","18.438","1,237","13.992","32,294","11,403","20,891","10.132","28.696","19,699","7,204","12,495","6.401","17.504","12,595","11.192","35.008","811","816","4,025"
"Alaska","00","Total for all sectors","Total","1982","8,098","9,567","130,484","124,909","1,830","19.673","1,300","13.975","37,902","13,493","24,409","10.802","30.344","26,881","8,607","18,274","6.891","21.521","11,021","8.823","43.041","867","877","4,929"
"Alaska","00","Total for all sectors","Total","1983","9,170","10,814","136,225","133,109","2,540","24.926","1,292","12.679","38,189","17,227","20,962","12.942","28.690","32,116","11,705","20,411","8.794","24.128","6,073","4.562","48.255","870","888","6,463"
"Alaska","00","Total for all sectors","Total","1984","10,246","11,977","146,329","142,052","2,628","23.056","1,471","12.905","38,108","15,743","22,365","11.083","26.827","29,609","10,122","19,487","7.126","20.844","8,499","5.983","41.688","1,030","1,050","6,763"
"Alaska","00","Total for all sectors","Total","1985","10,576","12,372","152,651","149,551","2,415","19.838","2,018","16.577","39,312","14,458","24,854","9.668","26.287","33,050","14,812","18,238","9.904","22.100","6,262","4.187","44.199","1,497","1,511","9,923"
"Alaska","00","Total for all sectors","Total","1986","10,572","12,397","145,676","149,271","2,289","18.482","2,265","18.288","34,272","14,549","19,723","9.747","22.960","41,417","15,860","25,557","10.625","27.746","−7,145","−4.787","45.919","1,620","1,649","8,941"
"Alaska","00","Total for all sectors","Total","1987","9,999","11,819","139,835","142,837","1,910","15.777","2,485","20.526","32,448","15,592","16,856","10.916","22.717","38,781","16,082","22,699","11.259","27.151","−6,333","−4.434","45.434","1,720","1,761","10,094"
"Alaska","00","Total for all sectors","Total","1988","10,008","11,860","136,796","138,173","1,955","16.504","1,926","16.259","30,347","12,068","18,279","8.734","21.963","33,113","14,128","18,985","10.225","23.965","−2,766","−2.002","43.926","1,227","1,257","7,210"
"Alaska","00","Total for all sectors","Total","1989","10,317","12,305","145,150","141,023","1,947","16.103","1,519","12.563","32,434","12,335","20,099","8.747","22.999","24,244","8,636","15,608","6.124","17.192","8,190","5.808","34.383","1,037","1,059","4,962"
"Alaska","00","Total for all sectors","Total","1990","10,605","12,651","157,795","151,643","1,854","14.860","1,505","12.063","35,617","10,784","24,833","7.111","23.487","23,366","9,723","13,643","6.412","15.409","12,251","8.079","30.817","1,050","1,085","6,804"
"Alaska","00","Total for all sectors","Total","1991","10,804","13,053","162,089","160,593","1,896","14.758","1,485","11.559","33,269","11,900","21,369","7.410","20.716","30,198","9,015","21,183","5.614","18.804","3,071","1.912","37.608","985","1,007","5,858"
"Alaska","00","Total for all sectors","Total","1992","10,982","13,357","163,884","165,424","1,824","13.831","1,485","11.261","34,064","10,459","23,605","6.323","20.592","36,638","9,308","27,330","5.627","22.148","−2,574","−1.556","41.184","921","939","5,297"
"Alaska","00","Total for all sectors","Total","1993","11,286","13,583","165,873","164,829","1,733","12.868","1,503","11.160","30,116","8,426","21,690","5.112","18.271","28,179","8,602","19,577","5.219","17.096","1,937","1.175","34.192","897","937","4,565"
"Alaska","00","Total for all sectors","Total","1994","11,654","13,980","172,944","170,370","1,839","13.339","1,453","10.539","33,031","11,976","21,055","7.029","19.388","28,000","8,396","19,604","4.928","16.435","5,031","2.953","32.870","918","939","4,254"
"Alaska","00","Total for all sectors","Total","1995","12,047","14,397","175,916","174,222","1,892","13.333","1,478","10.416","30,026","10,138","19,888","5.819","17.234","26,619","8,114","18,505","4.657","15.279","3,407","1.956","30.558","974","1,002","4,523"
"Alaska","00","Total for all sectors","Total","1996","12,229","14,601","177,460","176,192","1,831","12.666","1,540","10.653","29,542","8,596","20,946","4.879","16.767","27,261","10,017","17,244","5.685","15.472","2,281","1.295","30.945","1,008","1,028","5,390"
"Alaska","00","Total for all sectors","Total","1997","12,422","14,820","184,554","181,040","1,889","12.856","1,635","11.128","36,346","10,221","26,125","5.646","20.076","29,431","8,939","20,492","4.938","16.257","6,915","3.820","32.513","1,044","1,056","4,758"
"Alaska","00","Total for all sectors","Total","1998","12,705","15,169","195,890","192,065","1,901","12.643","1,635","10.874","36,424","12,398","24,026","6.455","18.964","28,977","9,778","19,199","5.091","15.087","7,447","3.877","30.174","1,021","1,056","4,662"
"Alaska","00","Total for all sectors","Total","1999","12,776","15,301","195,934","195,417","1,730","11.357","1,595","10.470","28,874","8,510","20,364","4.355","14.776","27,781","7,810","19,971","3.997","14.216","1,093","0.559","28.433","1,048","1,068","4,463"
"Alaska","00","Total for all sectors","Total","2000","12,786","15,363","207,596","202,298","1,769","11.531","1,726","11.251","38,630","13,542","25,088","6.694","19.096","27,959","10,511","17,448","5.196","13.821","10,671","5.275","27.641","1,110","1,145","6,089"
"Alaska","00","Total for all sectors","Total","2001","12,729","15,341","210,561","208,691","1,751","11.423","1,726","11.260","35,878","10,901","24,977","5.224","17.192","32,312","13,041","19,271","6.249","15.483","3,566","1.709","30.966","1,012","1,041","5,192"
"Alaska","00","Total for all sectors","Total","2002","12,858","15,635","213,166","212,382","2,133","13.763","1,859","11.995","39,759","15,421","24,338","7.261","18.721","38,224","12,346","25,878","5.813","17.998","1,535","0.723","35.996","1,033","1,046","6,576"
"Alaska","00","Total for all sectors","Total","2003","13,280","16,141","218,543","215,227","2,030","12.780","1,517","9.550","40,667","14,038","26,629","6.522","18.895","33,713","10,194","23,519","4.736","15.664","6,954","3.231","31.328","929","952","4,895"
"Alaska","00","Total for all sectors","Total","2004","13,403","16,263","223,624","221,056","1,851","11.425","1,729","10.672","35,389","9,758","25,631","4.414","16.009","30,299","11,379","18,920","5.148","13.706","5,090","2.303","27.413","1,047","1,080","5,133"
"Alaska","00","Total for all sectors","Total","2005","13,563","16,557","226,934","223,533","1,896","11.557","1,592","9.704","35,672","10,786","24,886","4.825","15.958","28,800","7,501","21,299","3.356","12.884","6,872","3.074","25.768","1,021","1,051","4,914"
"Alaska","00","Total for all sectors","Total","2006","13,802","17,020","241,991","236,082","2,170","12.926","1,705","10.156","41,048","11,539","29,509","4.888","17.387","29,467","8,829","20,638","3.740","12.482","11,581","4.905","24.963","1,128","1,149","5,071"
"Alaska","00","Total for all sectors","Total","2007","13,832","17,173","244,515","243,170","2,047","11.979","1,877","10.984","42,930","14,833","28,097","6.100","17.654","40,084","9,689","30,395","3.984","16.484","2,846","1.170","32.968","1,150","1,166","4,875"
"Alaska","00","Total for all sectors","Total","2008","13,687","17,031","247,285","245,787","1,819","10.640","1,950","11.406","35,452","10,130","25,322","4.121","14.424","32,535","8,511","24,024","3.463","13.237","2,917","1.187","26.474","1,201","1,214","5,013"
"Alaska","00","Total for all sectors","Total","2009","13,566","17,012","251,124","249,350","1,803","10.576","1,874","10.993","39,365","12,320","27,045","4.941","15.787","35,975","11,298","24,677","4.531","14.428","3,390","1.360","28.855","1,082","1,118","5,028"
"Alaska","00","Total for all sectors","Total","2010","13,611","17,141","253,210","252,380","1,751","10.253","1,625","9.515","33,329","8,675","24,654","3.437","13.206","31,612","8,054","23,558","3.191","12.526","1,717","0.680","25.051","952","970","3,865"
"Alaska","00","Total for all sectors","Total","2011","13,617","17,324","254,093","253,599","1,775","10.301","1,591","9.233","31,797","10,075","21,722","3.973","12.538","30,607","7,451","23,156","2.938","12.069","1,190","0.469","24.138","962","985","3,387"
"Alaska","00","Total for all sectors","Total","2012","13,725","17,431","257,599","256,208","1,740","10.010","1,642","9.447","37,357","10,578","26,779","4.129","14.581","34,481","7,896","26,585","3.082","13.458","2,876","1.123","26.916","887","899","3,461"
"Alaska","00","Total for all sectors","Total","2013","13,799","17,551","265,056","261,307","1,747","9.988","1,626","9.296","34,631","9,741","24,890","3.728","13.253","27,306","7,333","19,973","2.806","10.450","7,325","2.803","20.900","940","958","3,381"
"Alaska","00","Total for all sectors","Total","2014","13,829","17,717","266,063","264,832","1,758","9.969","1,595","9.044","37,253","13,114","24,139","4.952","14.067","34,478","8,850","25,628","3.342","13.019","2,775","1.048","26.038","955","962","3,936"
"Alaska","00","Total for all sectors","Total","2015","13,927","17,918","265,868","265,891","1,780","9.991","1,575","8.841","36,050","10,600","25,450","3.987","13.558","36,492","11,553","24,939","4.345","13.724","−442","−0.166","27.116","955","967","4,186"
"Alaska","00","Total for all sectors","Total","2016","14,043","18,137","264,228","265,159","1,846","10.239","1,629","9.036","34,285","11,954","22,331","4.508","12.930","36,192","10,753","25,439","4.055","13.649","−1,907","−0.719","25.860","1,009","1,031","6,445"
"Alaska","00","Total for all sectors","Total","2017","13,979","18,080","260,376","261,879","1,736","9.588","1,787","9.870","34,066","8,529","25,537","3.257","13.008","36,976","12,082","24,894","4.614","14.120","−2,910","−1.111","26.017","1,063","1,080","5,113"
"Alaska","00","Total for all sectors","Total","2018","14,067","18,075","261,336","261,662","1,620","8.963","1,618","8.952","31,187","6,950","24,237","2.656","11.919","31,846","8,717","23,129","3.331","12.171","−659","−0.252","23.838","978","988","3,645"
"Alaska","00","Total for all sectors","Total","2019","14,123","18,102","263,295","262,004","1,631","9.030","1,551","8.587","31,205","8,945","22,260","3.414","11.910","28,514","8,085","20,429","3.086","10.883","2,691","1.027","21.766","1,046","1,064","3,941"
"Alaska","00","Total for all sectors","Total","2020","14,055","18,012","264,521","263,850","1,606","8.896","1,690","9.361","30,932","8,019","22,913","3.039","11.723","29,896","8,845","21,051","3.352","11.331","1,036","0.393","22.661","1,230","1,261","5,980"
"Arizona","00","Total for all sectors","Total","1978","40,584","48,863","702,510","658,485","9,631","20.442","6,132","13.015","191,367","71,849","119,518","10.911","29.062","103,077","43,633","59,444","6.626","15.654","88,290","13.408","31.307","4,288","4,377","25,515"
"Arizona","00","Total for all sectors","Total","1979","42,610","51,467","793,483","749,468","9,007","17.932","6,533","13.006","193,986","67,367","126,619","8.989","25.883","106,254","40,348","65,906","5.384","14.177","87,732","11.706","28.355","4,723","4,801","25,812"
"Arizona","00","Total for all sectors","Total","1980","44,590","53,981","819,374","807,114","9,110","17.276","6,610","12.535","163,934","62,958","100,976","7.800","20.311","139,537","46,590","92,947","5.772","17.288","24,397","3.023","34.577","4,777","4,844","25,990"
"Arizona","00","Total for all sectors","Total","1981","46,222","56,238","839,383","828,844","9,421","17.102","7,119","12.923","159,583","66,092","93,491","7.974","19.254","138,253","43,329","94,924","5.228","16.680","21,330","2.573","33.360","5,212","5,290","27,963"
"Arizona","00","Total for all sectors","Total","1982","47,194","57,916","843,074","841,201","9,530","16.693","7,877","13.798","159,735","65,178","94,557","7.748","18.989","156,263","47,435","108,828","5.639","18.576","3,472","0.413","37.152","5,735","5,765","31,690"
"Arizona","00","Total for all sectors","Total","1983","49,203","60,306","851,921","847,662","10,070","17.033","7,700","13.024","175,190","67,841","107,349","8.003","20.667","166,539","55,352","111,187","6.530","19.647","8,651","1.021","39.294","5,203","5,272","30,503"
"Arizona","00","Total for all sectors","Total","1984","53,063","64,437","962,733","907,929","11,406","18.283","7,302","11.705","236,170","88,588","147,582","9.757","26.012","126,839","48,790","78,049","5.374","13.970","109,331","12.042","27.940","5,014","5,118","27,723"
"Arizona","00","Total for all sectors","Total","1985","56,080","67,718","1,068,467","1,015,629","11,951","18.085","8,678","13.132","272,013","102,355","169,658","10.078","26.783","166,154","69,213","96,941","6.815","16.360","105,859","10.423","32.719","6,136","6,255","43,976"
"Arizona","00","Total for all sectors","Total","1986","58,469","71,141","1,131,775","1,100,515","12,616","18.171","9,193","13.241","264,788","111,027","153,761","10.089","24.060","202,291","67,639","134,652","6.146","18.381","62,497","5.679","36.763","6,584","6,660","44,077"
"Arizona","00","Total for all sectors","Total","1987","60,425","74,080","1,168,433","1,154,019","13,119","18.067","10,185","14.026","263,717","123,285","140,432","10.683","22.852","234,342","96,577","137,765","8.369","20.307","29,375","2.545","40.613","7,107","7,186","51,905"
"Arizona","00","Total for all sectors","Total","1988","61,958","76,409","1,205,648","1,183,140","12,706","16.873","10,493","13.934","269,919","113,799","156,120","9.618","22.814","225,989","86,483","139,506","7.310","19.101","43,930","3.713","38.202","7,354","7,472","50,162"
"Arizona","00","Total for all sectors","Total","1989","62,597","77,416","1,235,157","1,219,144","12,013","15.618","11,021","14.328","257,421","102,979","154,442","8.447","21.115","225,712","88,602","137,110","7.268","18.514","31,709","2.601","37.028","7,671","7,846","52,577"
"Arizona","00","Total for all sectors","Total","1990","63,498","78,603","1,259,335","1,246,950","11,743","15.052","10,569","13.547","247,568","99,160","148,408","7.952","19.854","223,653","77,639","146,014","6.226","17.936","23,915","1.918","35.872","7,472","7,681","48,107"
"Arizona","00","Total for all sectors","Total","1991","64,018","79,974","1,257,486","1,257,967","11,855","14.959","10,405","13.130","237,754","109,273","128,481","8.686","18.900","239,287","87,002","152,285","6.916","19.022","−1,533","−0.122","37.800","7,192","7,397","56,367"
