"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","20","147,455","36,168","1,313"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","4","71,043","16,498","701"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2019","3","157,158","42,106","2,052"
"Arizona","541511","Custom computer programming services","S-corporations ","All establishments","2019","707","375,173","88,439","4,566"
"Arizona","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","576","48,882","8,965","672"
"Arizona","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","45","22,235","4,988","300"
"Arizona","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","47","53,047","12,167","667"
"Arizona","541511","Custom computer programming services","S-corporations ","Establishments with 20 to 49 employees","2019","23","55,464","13,823","655"
"Arizona","541511","Custom computer programming services","S-corporations ","Establishments with 50 to 99 employees","2019","7","40,127","10,782","470"
"Arizona","541511","Custom computer programming services","S-corporations ","Establishments with 100 to 249 employees","2019","7","86,213","19,277","992"
"Arizona","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","51","19,239","5,020","356"
"Arizona","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","46","2,516","640","61"
"Arizona","541511","Custom computer programming services","Partnerships","All establishments","2019","113","81,982","18,740","1,013"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","68","9,594","1,656","105"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2019","27","11,381","2,632","178"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2019","6","6,771","1,689","92"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2019","8","13,052","2,538","211"
"Arizona","541511","Custom computer programming services","Non-profit","All establishments","2019","3","406","92","12"
"Arkansas","541511","Custom computer programming services","All establishments","All establishments","2019","247","278,415","69,807","3,590"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","171","16,370","3,370","250"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","38","14,778","3,386","220"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","20","24,410","5,021","260"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","5","15,480","3,507","211"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2019","5","38,438","6,552","415"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2019","6","82,728","17,774","995"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","61","170,037","47,292","2,278"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","35","6,254","1,245","70"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","10","5,008","1,242","60"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","7","13,685","2,359","98"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","3","9,834","2,116","119"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","3","41,654","8,702","591"
"Arkansas","541511","Custom computer programming services","S-corporations ","All establishments","2019","164","62,063","14,524","929"
"Arkansas","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","124","8,805","1,834","162"
"Arkansas","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","24","8,345","1,876","138"
"Arkansas","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","9","7,192","1,710","109"
"Arkansas","541511","Custom computer programming services","S-corporations ","Establishments with 50 to 99 employees","2019","3","13,379","3,003","208"
"Arkansas","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","8","460","111","14"
"Arkansas","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","7","371","93","8"
"Arkansas","541511","Custom computer programming services","Partnerships","All establishments","2019","14","45,855","7,880","369"
"Arkansas","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","5","940","198","10"
"Arkansas","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2019","3","1,336","250","16"
"Arkansas","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2019","4","3,533","952","53"
"California","541511","Custom computer programming services","All establishments","All establishments","2019","10,869","22,937,763","5,222,782","163,435"
"California","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","7,748","1,092,008","188,192","10,674"
"California","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","1,168","771,232","176,368","7,708"
"California","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","794","1,121,311","266,278","10,715"
"California","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","621","2,231,363","551,903","18,991"
"California","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2019","306","2,735,254","670,071","20,335"
"California","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2019","158","3,374,318","809,529","23,769"
"California","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2019","47","2,118,914","572,629","15,730"
"California","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2019","14","2,531,754","530,255","9,054"
"California","541511","Custom computer programming services","All establishments","Establishments with 1,000 employees or more","2019","13","6,961,609","1,457,557","46,459"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","4,704","18,977,589","4,296,402","124,551"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","2,806","608,355","95,420","4,289"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","640","483,907","111,135","4,257"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","472","734,500","173,067","6,383"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","435","1,700,535","426,464","13,532"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","173","1,612,332","407,627","11,806"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","119","2,786,090","668,571","18,341"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2019","33","1,612,355","442,952","10,978"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2019","13","2,477,906","513,609","8,506"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 1,000 employees or more","2019","13","6,961,609","1,457,557","46,459"
"California","541511","Custom computer programming services","S-corporations ","All establishments","2019","5,087","2,300,702","516,251","25,293"
"California","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","4,210","406,350","76,556","5,320"
"California","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","403","223,345","50,252","2,638"
"California","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","249","299,282","71,264","3,345"
"California","541511","Custom computer programming services","S-corporations ","Establishments with 20 to 49 employees","2019","139","403,776","92,594","4,049"
"California","541511","Custom computer programming services","S-corporations ","Establishments with 50 to 99 employees","2019","55","397,446","88,659","3,850"
"California","541511","Custom computer programming services","S-corporations ","Establishments with 100 to 249 employees","2019","22","294,318","69,271","3,009"
"California","541511","Custom computer programming services","S-corporations ","Establishments with 250 to 499 employees","2019","8","222,337","51,009","2,534"
"California","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","351","222,147","58,150","1,902"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","300","24,198","4,869","390"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 5 to 9 employees","2019","28","11,923","2,925","178"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 10 to 19 employees","2019","8","10,670","2,623","120"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 20 to 49 employees","2019","8","16,578","3,873","213"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 50 to 99 employees","2019","3","18,942","4,747","159"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 100 to 249 employees","2019","3","57,023","14,226","423"
"California","541511","Custom computer programming services","Partnerships","All establishments","2019","640","767,666","189,313","7,805"
"California","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","414","51,488","10,854","644"
"California","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2019","93","50,412","11,613","614"
"California","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2019","60","73,368","18,207","802"
"California","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2019","37","104,821","27,616","1,149"
"California","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2019","20","141,915","34,777","1,439"
"California","541511","Custom computer programming services","Partnerships","Establishments with 100 to 249 employees","2019","12","172,115","39,580","1,640"
"California","541511","Custom computer programming services","Partnerships","Establishments with 250 to 499 employees","2019","4","173,547","46,666","1,517"
"California","541511","Custom computer programming services","Non-profit","All establishments","2019","29","104,812","28,331","797"
"California","541511","Custom computer programming services","Non-profit","Establishments with less than 5 employees","2019","15","1,389","419","25"
"California","541511","Custom computer programming services","Non-profit","Establishments with 5 to 9 employees","2019","4","1,645","443","21"
"California","541511","Custom computer programming services","Non-profit","Establishments with 10 to 19 employees","2019","5","3,491","1,117","65"
"California","541511","Custom computer programming services","Other noncorporate legal forms of organization","All establishments","2019","58","564,847","134,335","3,087"
"California","541511","Custom computer programming services","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2019","3","228","74","6"
"California","541511","Custom computer programming services","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2019","55","564,619","134,261","3,081"
"Colorado","541511","Custom computer programming services","All establishments","All establishments","2019","2,108","1,883,150","467,794","19,020"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","1,636","163,521","34,573","2,155"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","191","108,424","25,618","1,273"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","115","146,614","34,771","1,547"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","93","309,623","72,080","2,843"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2019","37","276,762","70,662","2,591"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2019","26","363,856","94,190","3,580"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2019","5","201,550","48,308","2,018"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2019","5","312,800","87,592","3,013"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","426","1,011,179","262,034","9,209"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","243","44,429","9,765","415"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","61","41,555","9,530","405"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","44","69,112","16,322","605"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","38","150,295","34,938","1,250"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","20","171,324","44,699","1,421"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","14","216,214","59,121","1,937"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2019","3","109,376","25,518","1,201"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2019","3","208,874","62,141","1,975"
"Colorado","541511","Custom computer programming services","S-corporations ","All establishments","2019","1,429","425,920","99,219","5,141"
"Colorado","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","1,235","101,526","21,232","1,520"
"Colorado","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","102","54,347","12,590","678"
"Colorado","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","43","47,478","11,259","571"
"Colorado","541511","Custom computer programming services","S-corporations ","Establishments with 20 to 49 employees","2019","35","100,209","23,593","1,001"
"Colorado","541511","Custom computer programming services","S-corporations ","Establishments with 50 to 99 employees","2019","9","59,488","15,488","619"
"Colorado","541511","Custom computer programming services","S-corporations ","Establishments with 100 to 249 employees","2019","5","62,872","15,057","752"
"Colorado","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","56","36,771","7,858","377"
"Colorado","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","44","3,271","764","68"
"Colorado","541511","Custom computer programming services","Individual proprietorships","Establishments with 5 to 9 employees","2019","6","3,103","782","33"
"Colorado","541511","Custom computer programming services","Partnerships","All establishments","2019","188","341,089","82,109","3,710"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","111","14,080","2,764","149"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2019","21","9,339","2,636","150"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2019","24","25,885","6,183","322"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2019","17","50,497","11,972","513"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2019","7","38,027","8,686","494"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 100 to 249 employees","2019","5","60,009","14,632","627"
"Colorado","541511","Custom computer programming services","Non-profit","All establishments","2019","9","68,191","16,574","583"
"Colorado","541511","Custom computer programming services","Non-profit","Establishments with less than 5 employees","2019","3","215","48","3"
"Connecticut","541511","Custom computer programming services","All establishments","All establishments","2019","509","1,241,090","316,397","13,006"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","315","57,983","10,509","460"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","64","37,673","9,802","438"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","54","94,317","22,228","731"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","36","92,844","22,245","1,061"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2019","21","149,007","37,135","1,502"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2019","12","217,070","55,119","1,820"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2019","4","110,015","23,330","1,423"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","185","927,605","239,684","9,758"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","99","18,507","4,452","140"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","25","16,083","4,662","163"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","25","56,679","13,405","327"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","10","29,364","7,248","309"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","11","80,111","21,062","736"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","8","134,665","29,496","1,089"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2019","4","110,015","23,330","1,423"
"Connecticut","541511","Custom computer programming services","S-corporations ","All establishments","2019","219","222,545","55,269","2,259"
"Connecticut","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","148","25,674","3,775","213"
"Connecticut","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","23","15,123","3,326","168"
"Connecticut","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","21","30,200","7,021","287"
"Connecticut","541511","Custom computer programming services","S-corporations ","Establishments with 20 to 49 employees","2019","18","43,194","9,813","525"
"Connecticut","541511","Custom computer programming services","S-corporations ","Establishments with 50 to 99 employees","2019","6","41,656","9,894","491"
"Connecticut","541511","Custom computer programming services","S-corporations ","Establishments with 100 to 249 employees","2019","3","66,698","21,440","575"
"Connecticut","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","38","20,925","5,501","265"
"Connecticut","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","33","3,408","814","61"
"Connecticut","541511","Custom computer programming services","Partnerships","All establishments","2019","67","70,015","15,943","724"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","35","10,394","1,468","46"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2019","14","6,133","1,735","94"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2019","6","5,962","1,377","82"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2019","8","20,286","5,184","227"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2019","4","27,240","6,179","275"
"Delaware","541511","Custom computer programming services","All establishments","All establishments","2019","460","445,356","106,431","4,593"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","349","48,586","8,066","473"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","44","24,090","5,767","290"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","29","42,028","8,360","388"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","22","75,549","17,164","656"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2019","10","84,985","21,516","765"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2019","4","47,999","10,937","557"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","228","273,845","70,907","2,925"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","171","26,307","4,290","241"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","24","14,339","3,266","158"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","16","26,124","5,406","228"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","6","14,651","4,216","150"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","8","56,173","15,367","584"
"Delaware","541511","Custom computer programming services","S-corporations ","All establishments","2019","189","147,014","30,722","1,466"
"Delaware","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","149","15,177","2,976","192"
"Delaware","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","11","5,393","1,300","76"
"Delaware","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","11","14,361","2,627","136"
"Delaware","541511","Custom computer programming services","S-corporations ","Establishments with 20 to 49 employees","2019","13","49,404","10,474","424"
"Delaware","541511","Custom computer programming services","S-corporations ","Establishments with 100 to 249 employees","2019","3","33,867","7,196","457"
"Delaware","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","8","6,135","1,311","42"
"Delaware","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","6","498","116","6"
"Delaware","541511","Custom computer programming services","Partnerships","All establishments","2019","35","18,362","3,491","160"
"Delaware","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","23","6,604","684","34"
"Delaware","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2019","8","3,877","1,058","51"
"District of Columbia","541511","Custom computer programming services","All establishments","All establishments","2019","298","583,949","143,886","5,040"
